,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc
Enzyme,0.6386554621848739,441.0,0.5170068027210885,0.38671276,0.6189024390243903,424.0,0.47877358490566035,0.42324468,0.6257142857142857,446.0,0.4910313901345291,0.39621228,0.7570332480818414,436.0,0.6788990825688074,0.52093995,0.6108663729809105,435.0,0.4781609195402299,0.38197103,0.6937062937062937,427.0,0.5807962529274004,0.4711558,0.7901524032825322,444.0,0.759009009009009,0.5251047,0.7146341463414635,455.0,0.643956043956044,0.4001789,0.5996955859969559,432.0,0.45601851851851855,0.40214047,0.7506361323155216,430.0,0.686046511627907,0.49783435
Membrane receptor,0.7947019867549668,79.0,0.759493670886076,0.773136,0.7619047619047619,94.0,0.6808510638297872,0.7394187,0.8427672955974843,80.0,0.8375,0.8244196,0.8165680473372781,80.0,0.8625,0.79512274,0.8783068783068785,94.0,0.8829787234042553,0.8610429,0.8098159509202455,83.0,0.7951807228915663,0.7871474,0.7720930232558139,85.0,0.9764705882352941,0.7590153,0.7142857142857143,57.0,0.8771929824561403,0.70111823,0.824858757062147,89.0,0.8202247191011236,0.80179334,0.8275862068965518,90.0,0.8,0.80593896
Transcription factor,0.6952789699570815,108.0,0.75,0.6428449,0.7622950819672131,108.0,0.8611111111111112,0.7243168,0.6691449814126395,98.0,0.9183673469387755,0.63885945,0.7426470588235293,114.0,0.8859649122807017,0.7019361,0.6285714285714286,90.0,0.8555555555555555,0.5927075,0.7622641509433963,115.0,0.8782608695652174,0.7223549,0.6486486486486486,105.0,0.9142857142857143,0.61193967,0.6416666666666667,95.0,0.8105263157894737,0.5961428,0.6980392156862746,105.0,0.8476190476190476,0.6541206,0.6970954356846473,96.0,0.875,0.6621149
Ion channel,0.253968253968254,32.0,0.75,0.28141734,0.3378995433789954,45.0,0.8222222222222222,0.35424143,0.25806451612903225,37.0,0.6486486486486487,0.25789464,0.32748538011695905,39.0,0.717948717948718,0.33413464,0.22950819672131148,33.0,0.6363636363636364,0.23499174,0.3030303030303031,31.0,0.8064516129032258,0.34097716,0.0,26.0,0.0,,0.0816326530612245,45.0,0.044444444444444446,0.13584843,0.3428571428571428,29.0,0.41379310344827586,0.31725895,0.25806451612903225,30.0,0.8,0.2985086
Other,0.2832618025751073,100.0,0.33,0.15878655,0.2145922746781116,89.0,0.2808988764044944,0.0849653,0.3203883495145631,99.0,0.3333333333333333,0.21424547,0.1904761904761905,91.0,0.13186813186813187,0.15100244,0.2612612612612613,108.0,0.26851851851851855,0.13508876,0.2735849056603774,104.0,0.27884615384615385,0.1559341,0.2,100.0,0.13,0.18096493,0.28044280442804426,108.0,0.35185185185185186,0.13621923,0.3047091412742382,105.0,0.5238095238095238,0.15838654,0.09022556390977443,114.0,0.05263157894736842,0.07434805
