,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc
Enzyme,0.5287713841368584,441.0,0.3854875283446712,0.31858978,0.5964912280701754,424.0,0.4811320754716981,0.3291954,0.6639999999999999,446.0,0.5582959641255605,0.38509408,0.7116883116883118,436.0,0.6284403669724771,0.44166353,0.7598039215686274,435.0,0.7126436781609196,0.48898017,0.7074468085106385,427.0,0.6229508196721312,0.44705826,0.5942857142857142,444.0,0.46846846846846846,0.33011797,0.5341426403641882,455.0,0.3868131868131868,0.32631704,0.7051114023591089,432.0,0.6226851851851852,0.4331979,0.6563814866760169,430.0,0.5441860465116279,0.40570107
Membrane receptor,0.7415730337078652,79.0,0.8354430379746836,0.7135677,0.8617021276595744,94.0,0.8617021276595744,0.84218264,0.8426966292134831,80.0,0.9375,0.8275046,0.8160919540229885,80.0,0.8875,0.7957776,0.7419354838709679,94.0,0.9787234042553191,0.7253654,0.7407407407407407,83.0,0.963855421686747,0.7269359,0.7897435897435896,85.0,0.9058823529411765,0.76768994,0.8205128205128205,57.0,0.8421052631578947,0.80586654,0.8214285714285714,89.0,0.7752808988764045,0.80112183,0.75,90.0,0.6666666666666666,0.7282162
Transcription factor,0.6346153846153846,108.0,0.6111111111111112,0.577361,0.7009345794392523,108.0,0.6944444444444444,0.65197355,0.6075949367088608,98.0,0.7346938775510204,0.54919356,0.6827309236947792,114.0,0.7456140350877193,0.62427765,0.6090534979423867,90.0,0.8222222222222222,0.5675231,0.6773162939297125,115.0,0.9217391304347826,0.6360967,0.6116504854368933,105.0,0.6,0.55093324,0.578397212543554,95.0,0.8736842105263158,0.5402169,0.6642335766423358,105.0,0.8666666666666667,0.62035096,0.5791505791505791,96.0,0.78125,0.52504426
Ion channel,0.2950819672131148,32.0,0.28125,0.26603332,0.2162162162162162,45.0,0.17777777777777778,0.18283378,0.21212121212121213,37.0,0.1891891891891892,0.17834239,0.1694915254237288,39.0,0.1282051282051282,0.148039,0.0,33.0,0.0,,0.0588235294117647,31.0,0.03225806451612903,0.09310493,0.1717171717171717,26.0,0.6538461538461539,0.19229425,0.26046511627906976,45.0,0.6222222222222222,0.23993085,0.25301204819277107,29.0,0.7241379310344828,0.2818049,0.18487394957983191,30.0,0.36666666666666664,0.15733811
Other,0.25116279069767444,100.0,0.54,0.08307931,0.2444444444444444,89.0,0.4943820224719101,0.10477729,0.2906574394463668,99.0,0.42424242424242425,0.15572923,0.2835820895522388,91.0,0.4175824175824176,0.16115294,0.3111111111111111,108.0,0.25925925925925924,0.22864741,0.2146341463414634,104.0,0.21153846153846154,0.09224419,0.22624434389140274,100.0,0.25,0.09659041,0.256198347107438,108.0,0.28703703703703703,0.1182478,0.1610738255033557,105.0,0.11428571428571428,0.09667504,0.3048327137546468,114.0,0.35964912280701755,0.16233034
