,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc,f1-score,support,accuracy,mcc
Enzyme,0.7218045112781954,441.0,0.6530612244897959,0.431888,0.7801778907242695,424.0,0.7240566037735849,0.55419564,0.09282700421940927,446.0,0.04932735426008968,0.07899123,0.7807737397420867,436.0,0.7637614678899083,0.5013762,0.21457489878542507,435.0,0.12183908045977011,0.1911294,0.7914183551847437,427.0,0.7775175644028103,0.5350524,0.771764705882353,444.0,0.7387387387387387,0.4860155,0.2862453531598513,455.0,0.16923076923076924,0.23503564,0.7851335656213706,432.0,0.7824074074074074,0.50442934,0.5527950310559007,430.0,0.413953488372093,0.33596352
Membrane receptor,0.7593582887700535,79.0,0.8987341772151899,0.7380756,0.8315789473684212,94.0,0.8404255319148937,0.8075803,0.7611940298507462,80.0,0.6375,0.7562484,0.7891891891891892,80.0,0.9125,0.7697004,0.4132231404958678,94.0,0.26595744680851063,0.46767882,0.8324324324324324,83.0,0.927710843373494,0.81506526,0.8241206030150753,85.0,0.9647058823529412,0.8096612,0.6756756756756758,57.0,0.8771929824561403,0.6643502,0.8390804597701149,89.0,0.8202247191011236,0.8185663,0.7644444444444446,90.0,0.9555555555555556,0.7459809
Transcription factor,0.6869565217391305,108.0,0.7314814814814815,0.63301414,0.6906474820143885,108.0,0.8888888888888888,0.64969045,0.7511737089201878,98.0,0.8163265306122449,0.71399885,0.7428571428571429,114.0,0.9122807017543859,0.7054628,0.672566371681416,90.0,0.8444444444444444,0.6363292,0.7536231884057971,115.0,0.9043478260869565,0.7156154,0.6229508196721311,105.0,0.5428571428571428,0.58079565,0.6507177033492823,95.0,0.7157894736842105,0.5988951,0.6714285714285714,105.0,0.8952380952380953,0.6324059,0.6263345195729537,96.0,0.9166666666666666,0.5965116
Ion channel,0.2727272727272727,32.0,0.1875,0.28878748,0.3522012578616352,45.0,0.6222222222222222,0.3317757,0.1365461847389558,37.0,0.918918918918919,0.14463946,0.18867924528301885,39.0,0.1282051282051282,0.18988217,0.11439842209072978,33.0,0.8787878787878788,0.11218838,0.31460674157303375,31.0,0.45161290322580644,0.29148978,0.3119266055045872,26.0,0.6538461538461539,0.32864338,0.24137931034482757,45.0,0.15555555555555556,0.26787287,0.24000000000000002,29.0,0.20689655172413793,0.2178299,0.25477707006369427,30.0,0.6666666666666666,0.27145508
Other,0.2835249042145594,100.0,0.37,0.15066284,0.07547169811320754,89.0,0.0449438202247191,0.055598605,0.27860696517412936,99.0,0.2828282828282828,0.16872838,0.24161073825503354,91.0,0.1978021978021978,0.16875878,0.25581395348837205,108.0,0.2037037037037037,0.17512582,0.07633587786259542,104.0,0.04807692307692308,0.026996609,0.2011173184357542,100.0,0.18,0.09699934,0.2716049382716049,108.0,0.7129629629629629,0.09071951,0.1806451612903226,105.0,0.13333333333333333,0.109083556,0.26291079812206575,114.0,0.24561403508771928,0.14396349
