,aspect,cosineCorr,cosineCorrPVal,manhattanCorr,manhattanCorrPVal,euclidianCorr,euclidianCorrPVal
2,CC,0.2038082020907938,0.001369985801290865,0.3293582642528778,1.3944105494807714e-07,0.2819688652631666,7.714051214210064e-06
LearnedEmbeddingVec,,,,,,,
0,MF,0.12165813990329045,0.0,-0.1221334624180274,0.0,-0.12165813990329045,0.0
1,BP,0.09807196624182632,0.0,-0.0935932727380021,0.0,-0.09807196624182632,0.0
2,CC,0.08705972335604932,0.0,-0.08534195726908457,0.0,-0.08705972335604932,0.0
LearnedEmbeddingVec_Sparse_highest_500,,,,,,,
0,MF,0.459382575978945,3.023284727855317e-14,0.4099830116701563,2.1689966436784665e-11,0.459382575978945,3.023284727855317e-14
1,BP,0.30387307007456904,1.1325058234169492e-06,0.2987112063885429,1.7495423111940671e-06,0.30387307007456904,1.1325058234169492e-06
2,CC,0.307646737223478,9.088294457975216e-07,0.3051938408310146,1.120065867436256e-06,0.307646737223478,9.088294457975216e-07
LearnedEmbeddingVec_highest_200,,,,,,,
0,MF,0.2401017901513225,6.523584505513541e-259,0.2503067046108497,6.1473988999372124e-282,0.2401017901514139,6.52358450248804e-259
1,BP,0.15863480297908533,2.6726065060063233e-112,0.14337665824409587,7.036197229742842e-92,0.15863480297908533,2.6726065060063233e-112
2,CC,0.02853084754755305,5.689356569503309e-05,0.009651732466011226,0.17335870257584748,0.02853084754755305,5.689356569503309e-05
LearnedEmbeddingVec_highest_500,,,,,,,
0,MF,0.1947262250072865,0.0,0.19216096485797976,0.0,0.1947262250072884,0.0
1,BP,0.1367518006055241,0.0,0.13170723499018133,0.0,0.1367518006055241,0.0
2,CC,0.06990982574098316,2.7504617785533096e-132,0.062023648707902376,1.7193335972374258e-104,0.06990982574098316,2.7504617785533096e-132
Mut2Vec,,,,,,,
0,MF,0.10406640736414098,0.0,-0.09711701213831198,0.0,-0.10406640753591936,0.0
1,BP,0.0745291521351052,0.0,-0.07086477014859356,0.0,-0.07452915204985347,0.0
2,CC,0.10120121690070599,0.0,-0.09567141729658278,0.0,-0.10120121707277056,0.0
Mut2Vec_Sparse_highest_500,,,,,,,
0,MF,0.5396379760512895,9.152993831570836e-20,0.5462247913812742,2.6648168646769584e-20,0.5396379760512895,9.152993831570836e-20
1,BP,0.5788537429421406,1.3997415856022566e-17,0.5799222876570942,1.1825607450331125e-17,0.5788537429421406,1.3997415856022566e-17
2,CC,0.3851377322229341,2.4672690944480965e-09,0.3948878923766817,8.902492861719869e-10,0.3851377322229341,2.4672690944480965e-09
Mut2Vec_highest_200,,,,,,,
0,MF,0.20664982255238126,7.638675917122438e-178,0.1927928912255376,1.276977391278946e-154,0.20664982255238126,7.638675917122438e-178
1,BP,0.2586085107136244,1.5272830050960905e-266,0.2496855121989724,5.069595486252182e-248,0.2586085107136244,1.5272830050960905e-266
2,CC,0.10479894789959376,6.045123802331219e-46,0.09861306676873008,7.403060708066283e-41,0.10479894789959376,6.045123802331219e-46
Mut2Vec_highest_500,,,,,,,
0,MF,0.19832511993268268,0.0,0.18688813298485266,0.0,0.19832512055444929,0.0
1,BP,0.22691606095291095,0.0,0.22366159117239776,0.0,0.2269160617569164,0.0
2,CC,0.11930616985766992,0.0,0.11026504723285914,5.933214552256366e-304,0.11930617009466625,0.0
ProtVec,,,,,,,
0,MF,0.054247096449949135,0.0,0.006220441200249368,1.010084877892217e-41,0.005983915373638608,9.716946352669718e-39
1,BP,0.02332294708241095,0.0,-0.009904155899511087,0.0,-0.010531587526313807,0.0
2,CC,-0.07048255781813766,2.409228470843053e-23,0.07242533908546428,1.4605386494772895e-24,0.07168915481034553,4.262602766826001e-24
ProtVec_Sparse_highest_500,,,,,,,
0,MF,-0.06286407522424392,0.3261322525455822,0.18544122299853089,0.0035106737585576106,0.1829947422832073,0.003978013460300807
1,BP,0.31266384656794194,5.295707512267351e-07,0.2952566916292122,2.329746579400883e-06,0.3039590745913989,1.124248899448724e-06
2,CC,0.04753527160564346,0.4589005793735501,0.20583358493337364,0.0011949062421632408,0.20888460942153755,0.0010047265600542704
ProtVec_highest_200,,,,,,,
0,MF,0.026318401713254332,0.0002047542857679604,0.08097384767506212,2.6134536449824972e-30,0.08288474325035798,1.109619961090317e-31
1,BP,0.03662264288717128,2.370323104693839e-07,0.08312061352119393,7.47480595371219e-32,0.08437288744151858,9.005691295013814e-33
2,CC,0.04006618401477662,1.25858847412971e-44,0.0502207624966217,4.0864948423348647e-69,0.050849357335022015,8.221371616256392e-71
ProtVec_highest_500,,,,,,,
0,MF,0.03103196902669432,1.1890337140652105e-27,0.03940253780727405,1.4905911963391588e-43,0.03897135666113755,1.2132021555158758e-42
1,BP,0.025011653856166098,1.6011591917986215e-18,0.055910438525649586,6.49240817679241e-86,0.0570723658701558,1.8998252141655365e-89
2,CC,0.04006618401477662,1.25858847412971e-44,0.0502207624966217,4.0864948423348647e-69,0.050849357335022015,8.221371616256392e-71
SeqVec,,,,,,,
0,MF,0.1582712220111111,0.0,-0.16118992814670666,0.0,-0.1514006705515658,0.0
1,BP,0.10408500069875867,0.0,-0.11737406163047695,0.0,-0.10257640212813854,0.0
2,CC,0.1340538129233163,0.0,-0.13804761159307133,0.0,-0.1269355515485525,0.0
SeqVec_Sparse_highest_500,,,,,,,
0,MF,0.3706007178224306,1.997884793480368e-09,0.4237953500744625,3.836091946107342e-12,0.3452467942840215,2.708871350039662e-08
1,BP,0.3579842452466577,7.010724526676904e-09,0.2436484071644948,0.00010961135917583848,0.29407890755151506,2.5665385676067112e-06
2,CC,0.3524541203926593,1.4146094031024226e-08,0.4242066438730631,4.026198391961812e-12,0.33420917347346785,8.352387507781996e-08
SeqVec_highest_200,,,,,,,
0,MF,0.2487322205419704,2.581121906882501e-278,0.2641842328100352,0.0,0.2252384890919629,2.7500644728056207e-227
1,BP,0.16513958051946254,1.1603678520583486e-121,0.13772531625525697,7.364325262820172e-85,0.1544198303253722,1.9194158367125086e-106
2,CC,0.07212022480359531,2.2796758864299136e-24,0.1050567856247502,5.966779303698986e-50,0.06755337431229234,1.4300344012119973e-21
SeqVec_highest_500,,,,,,,
0,MF,0.2307423867272392,0.0,0.24654576319940905,0.0,0.2183940677351246,0.0
1,BP,0.13600582571893538,0.0,0.12199128469568045,0.0,0.1254516800050639,0.0
2,CC,0.07819168174314736,4.435087306836947e-165,0.10540919879172662,4.950431456215688e-299,0.07025191938359543,1.4388747785848228e-133
TCGA_Embedding,,,,,,,
0,MF,0.1563560099852886,0.0,-0.14955780573192648,0.0,-0.15377157957616416,0.0
1,BP,0.11486732702774816,0.0,-0.11163521946913424,0.0,-0.1166597767646971,0.0
2,CC,0.1971560320470377,0.0,-0.191823847375445,0.0,-0.19957616293621697,0.0
TCGA_Embedding_Sparse_highest_500,,,,,,,
0,MF,0.039360126394786206,0.5389289889673823,0.0375448135213402,0.55782521975525,0.04983686769859518,0.4364727787706798
1,BP,0.4925860921140228,1.6732887251948711e-16,0.4822408636127631,8.634372908060866e-16,0.4962874716901798,9.176679617487396e-17
2,CC,0.4738956690421547,5.9476074545198055e-15,0.5033396964743626,6.003047049037164e-17,0.5055615038011618,4.166986047730295e-17
TCGA_Embedding_highest_200,,,,,,,
0,MF,0.1449650899976383,6.631246848100408e-94,0.13405018788598805,1.8865790335810217e-80,0.13928099922815845,9.20203538631672e-87
1,BP,0.18486453291414084,1.738345117758952e-152,0.18092232287410093,4.963048941457817e-146,0.18863734312624486,8.369221421021996e-159
2,CC,0.2108853753765257,7.360008160592949e-199,0.20156826765221755,1.693128461194411e-181,0.19924396700357128,2.6757149045099694e-177
TCGA_Embedding_highest_500,,,,,,,
0,MF,0.10741271845360313,0.0,0.1042166512502495,1.1442020842501623e-294,0.10855193199706027,0.0
1,BP,0.1170917423732656,0.0,0.11554738757957465,0.0,0.12091090993092488,0.0
2,CC,0.2447053447537832,0.0,0.2293565066588211,0.0,0.2347129393209988,0.0
Tape_Bertavg_200,,,,,,,
0,MF,0.2177809773340571,1.0239998575258812e-191,0.22346737255337032,5.210985400802651e-202,0.21669924060702614,8.618919160957064e-190
1,BP,0.14680920823618346,4.627782031373727e-87,0.14165391062834995,3.994382573918489e-81,0.14741892875730309,8.886732146241365e-88
2,CC,-0.0060231999491271474,0.4395447670534941,-0.01707526894783479,0.028421188985284524,-0.009586570242742851,0.2185961994171849
Tape_Bertavg_500,,,,,,,
0,MF,0.1976302576435238,0.0,0.2046434013408975,0.0,0.19662277396915048,0.0
1,BP,0.0738660604588112,4.305346908109564e-137,0.07111780733483708,3.3477045368964596e-127,0.07207758596050495,1.2986651202563264e-130
2,CC,-0.010361052243406,0.000868826840030297,-0.022816350664943284,2.2408308882980568e-13,-0.012090085088239827,0.00010207554950449406
Tape_Bertavg_All,,,,,,,
0,MF,0.0784358588026524,0.0,0.08026996480394573,0.0,0.07809771653097003,0.0
1,BP,0.07673499578222312,0.0,0.08614328872910196,0.0,0.07577506668900945,0.0
2,CC,0.030020623734863375,0.0,0.018645634318761508,0.0,0.027898873598229082,0.0
Tape_Bertavg_Sparse,,,,,,,
0,MF,0.457839861969246,1.1078198926017824e-13,0.4964861293154894,3.732414283758915e-16,0.4583401693653218,1.0337369973072903e-13
1,BP,0.22296323389372716,0.0007989749604679824,0.20682666170334327,0.001903663251382038,0.22117773603199609,0.0008822543963720316
2,CC,0.2672603494551983,0.00020104200967715162,0.2217707389039976,0.0021629150128432326,0.2725430597771023,0.00014819844489783477
Tape_Bertpool_200,,,,,,,
0,MF,0.18903197973648386,4.40980962828064e-144,0.18803317913121775,1.4758028365616895e-142,0.18915274569924,2.8806587021014644e-144
1,BP,0.11632110066329507,3.97251094281796e-55,0.11625010035450355,4.619384363499268e-55,0.11616314645874072,5.556092904473216e-55
2,CC,0.01540367449568577,0.04805683702833609,0.013306948887461492,0.08768241607813118,0.015361557612870284,0.04867132033498957
Tape_Bertpool_500,,,,,,,
0,MF,0.16226955080047656,0.0,0.1626256018946066,0.0,0.16231936784184467,0.0
1,BP,0.07841099021370011,2.8029648944842534e-154,0.0779094011398529,2.484054235105195e-152,0.07834715795730864,4.967784859301535e-154
2,CC,0.004144158652397764,0.18291321958942605,0.002248116674648534,0.4699923244798956,0.004088413136357672,0.1888720712009469
Tape_Bertpool_All,,,,,,,
0,MF,0.0682655052487368,0.0,0.06727152628369212,0.0,0.06830249689582543,0.0
1,BP,0.05439206080829735,0.0,0.05465294895829099,0.0,0.054419171809143164,0.0
2,CC,0.01354818997664756,0.0,0.01242109385235518,0.0,0.013580581982114068,0.0
Tape_Bertpool_Sparse,,,,,,,
0,MF,0.4085708516403773,5.97080426078973e-11,0.4121568387063042,3.906709792337332e-11,0.4090891881318071,5.6174556450043314e-11
1,BP,0.36167261111207294,2.69881510463058e-08,0.3617786588638607,2.6718829433828796e-08,0.3609952040445314,2.8771263774883413e-08
2,CC,0.2649424980891946,0.0002293746167663981,0.2613572939440801,0.00028060478803552713,0.2656215005599104,0.000220711705629393
UniRep,,,,,,,
0,MF,0.14546129835385208,0.0,-0.06808049716140728,0.0,-0.04885504258007937,0.0
1,BP,0.09182108852982143,0.0,-0.04790633871666164,0.0,-0.04163700346680423,0.0
2,CC,0.10337627532846268,0.0,-0.0434230548866152,0.0,-0.04261289477400061,0.0
UniRep_Sparse_highest_500,,,,,,,
0,MF,0.6049042466794162,6.103618075832143e-26,0.4213327475751829,5.254792153325089e-12,0.33415097647630193,7.900274949401787e-08
1,BP,0.4769906063955506,1.9445084675904074e-15,0.4695106024457135,6.036878830381285e-15,0.436890204085533,6.186183883437151e-13
2,CC,0.3522786803645889,1.4397566999247759e-08,0.3247590759614522,2.0048389618732372e-07,0.34023615043778416,4.704567779118559e-08
UniRep_highest_200,,,,,,,
0,MF,0.2672495321392244,0.0,0.1800707227181251,1.1771460757225985e-144,0.16228398097340532,1.672295226584762e-117
1,BP,0.16480476169178904,3.5987631764445496e-121,0.13806024911163078,2.878970733349846e-85,0.13810684441134438,2.5258661779012862e-85
2,CC,0.013956885972626384,0.048972241015468286,0.02904511420886262,4.168708589920952e-05,0.0579782158595493,2.7183949050689583e-16
UniRep_highest_500,,,,,,,
0,MF,0.22831035168823385,0.0,0.14690196727490962,0.0,0.13165415489721094,0.0
1,BP,0.11784241729334335,0.0,0.08887576409805267,1.4442573946880053e-214,0.09062947109847427,4.5432522623765625e-223
2,CC,0.048036992450769485,2.1928876255619863e-63,0.025399038950155915,6.53891001593474e-19,0.0451993737241204,2.550617007446583e-56
